|text|labels
0|how did serfdom develop then leave russia|0
1|what films featured character popeye doyle|1
2|how can find list celebrities real names|0
3|what fowl grabs spotlight after chinese year monkey|1
4|what is full form .com|2
5|what contemptible scoundrel stole cork my lunch|3
6|what team did baseball 's st. louis browns become|3
7|what is oldest profession|3
8|what are liver enzymes|0
9|name scar faced bounty hunter old west|3
10|when was ozzy osbourne born|4
11|why do heavier objects travel downhill faster|0
12|who was pride yankees|3
13|who killed gandhi|3
14|what is considered costliest disaster insurance industry has ever faced|1
15|what sprawling u.s. state boasts most airports|5
16|what did only repealed amendment u.s. constitution deal|0
17|how many jews were executed concentration camps during wwii|4
18|what is nine inch nails|0
19|what is annotated bibliography|0
20|what is date boxing day|4
21|what articles clothing are tokens monopoly|1
22|name 11 famous martyrs|3
23|what 's olympic motto|0
24|what is origin name scarlett|0
25|what 's second most used vowel english|1
26|who was inventor silly putty|3
27|what is highest waterfall united states|5
28|name golf course myrtle beach|1
29|two states enclose chesapeake bay|5
30|what does abbreviation aids stand|2
31|what does spermologer collect|1
32|how many points make up perfect fivepin bowling score|4
33|company manufactures video game hardware sells super system|3
34|how many community chest cards are there monopoly|4
35|what do mormons believe|0
36|when did neanderthal man live|4
37|what religion was isis nature goddess|1
38|where do adventures swiss family robinson take place|5
39|what relative racoon is sometimes known as cat bear|1
40|how can register my website yahoo free|0
41|what was cash conscious colonel edwin l. drake first drill|1
42|how many people world speak french|4
43|how many inches over six feet is venus de milo|4
44|how do they find or choose witnesses execution|0
45|what 1920s cowboy star rode tony wonder horse|3
46|what cocktail inspired john doxat write book stirred not shaken|1
47|what isps exist caribbean|3
48|how do you ask total stranger out date|0
49|what weapon is mythological character apollo most proficient|1
50|what country do galapagos islands belong|5
51|what is ethology|0
52|who was prophet muslim people|3
53|where did term 86ed come|0
54|who is snoopy 's arch enemy|3
55|what is nature learning|0
56|what 's only color johnny cash wears stage|1
57|what 's term young fox|1
58|what u.s. state lived under six flags|5
59|what is kashmir issue|0
60|where is loop|5
61|what does extended definition mean how would one write paper it|0
62|what country 's capital is tirana|5
63|what is titanium|0
64|who do herb tootsie live next door|3
65|city has oldest relationship as sisterðcity los angeles|5
66|what is caldera|0
67|why do people get calluses|0
68|what are names tourist attractions reims|5
69|what are cushman wakefield known|0
70|what body water does danube river flow into|5
71|who is founder scientology|3
72|what does six footed musca domestica become when it enters house|1
73|what is history skateboarding|0
74|who starred singing rain singing nun|3
75|how do make fuel bricks recycled newspaper|0
76|what 19th century painter died marquesas islands|3
77|corpus callosum is what part body|1
78|how do log home page at headquarters u.s. european command|0
79|what country did nazis occupy cd nns nnp nnp nnp|5
80|what is nebraska 's most valuable resource|1
81|how many species great white shark are there|4
82|what is origin head lice|0
83|what is nickname state mississippi|5
84|what was first domesticated bird|1
85|how many villi are found small intestine|4
86|what country did king wenceslas rule|5
87|what is fear shadows|1
88|who were five marx brothers|3
89|year was new zealand excluded anzus alliance|4
90|when did cnn begin broadcasting|4
91|what causes body shiver cold temperatures|0
92|what are bear bull markets|0
93|what j.r.r. tolkien book features bilbo baggins as central character|1
94|what is dew point|0
95|what is meaning jesus|0
96|what company 's logo is circle|3
97|what is definition cascade|0
98|when did rococo painting architecture flourish|4
99|what country 's national passenger rail system is called via|5
100|who invented make up|3
101|what is origin word attic|0
102|what did delilah do samson 's hair|0
103|what kind animals were paleozoic era|1
104|following was rhodes scholar|3
105|who comprised now defunct comic book team known as champions|3
106|how do you make paintball|0
107|what u.s. state is fort knox|5
108|what is female rabbit called|1
109|where is highest point japan|5
110|where do chihuahuas come|0
111|where does barney rubble go work after he drops fred off flintstones cartoon series|5
112|what are world 's four oceans|5
113|what 's only work michelangelo bears his signature|1
114|what is largest snake world|1
115|what medium is stuart hamblen considered be first singing cowboy|1
116|where internet can find song lyrics database similar international lyrics server|5
117|how much money does back injury lawsuit get|4
118|what 's common name acetylsalicylic acid|1
119|what does georgetown hoya mean|0
120|where can find list classic books 5th 6th graders should read|5
121|two products use tiger as their symbol|1
122|how is election new pope announced world|0
123|how long does it take your blood make one complete trip through body|4
124|how do chickens have baby chicks|0
125|what is historical relationship catholic church bingo|0
126|how was element calcium named|0
127|what crooner joined andrews sisters pistol packin mama|3
128|what piano company claims its product is instrument immortals|3
129|when did bounty mutiny take place|4
130|what novel inspired movie bladerunner|1
131|what is transistor|0
132|what is film starring jude law|1
133|what hollywood dog died arms jean harlow 1932|1
134|what are most common elements earth 's crust|1
135|how much would it cost purchase foot square party tent sides|4
136|what actress has received most oscar nominations|3
137|what are equity securities|0
138|what is gymnophobia|0
139|how many years do fossils take form|4
140|where is orinoco|5
141|what was name little rascals dog|1
142|what city boasts penn 's landing banks delaware river|5
143|what broadway musical was inspired cervantes 's don quixote|1
144|what is origin word jj|0
145|how many hostages were killed entebbe raid|4
146|how you can raise your iq|0
147|what does inri stand when used jesus cross|2
148|who produces spumante|3
149|who earns their money hard way|3
150|who founded people 's temple commune|3
151|what athlete makes most money sports merchandise sales|3
152|how many bends are there standard paper clip|4
153|who discovered electricity|3
154|what part your body contains corpus callosum|1
155|who was first american space|3
156|what two south american countries do 't border brazil|5
157|what album put beatles cover time 1967|1
158|what poem contains line grow old me best is yet be|1
159|what is dental root canal|0
160|what war did wanna go home riots occur after|1
161|what is busiest air travel season|4
162|what 's colored part eye called|1
163|what are hook worms|0
164|where is rose bowl played|5
165|japanese car maker had its biggest percentage sale domestic market|3
166|who is mayor marbella|3
167|what sun blasted 14 mile wide valley is just north mojave desert|5
168|what year did thatcher become prime minister|4
169|how many months does it take moon revolve around earth|4
170|where are 49 steps|5
171|what year was de gaulle elected president france|4
172|who sings themes dawson 's creek felicity|3
173|who directed jaws|3
174|what t.v. show could tom terrific be found|1
175|what indian tribe is troop perpetually doing battle|3
176|where did indian pudding come|0
177|why do some clothing labels say use nonchlorine bleach|0
178|how many colonies were involved american revolution|4
179|what is name city maurizio pellegrin lives|5
180|where can find pictorial directions how build very simple treehouse|5
181|what game 's board shows territories irkutsk yakutsk kamchatka|1
182|what is name managing director apricot computer|3
183|what is occupation nicholas cage|3
184|why do horseshoes bring luck|0
185|what is 401 plan|0
186|what causes pneumonia|0
187|what are three winter months southern hemisphere|4
188|what does gringo mean|0
189|what country contains africa 's northernmost point|5
190|what therapy attempts elicit primal scream|1
191|where is kalahari desert|5
192|ventura county police department seized largest cocaine shipment it 's history|3
193|what city is sometimes called gotham|5
194|what dangles over tongue palate|1
195|who created dennis menace|3
196|what dummy received honorary degree northwestern university|3
197|when was first wall street journal published|4
198|what countries have largest areas forest|5
199|how do start web based business|0
200|name alvin 's brothers|3
